City Id,State,State Abbreviation,Municipality,Link
28,Arkansas,AR,Eureka Springs,https://www.hrc.org/resources/municipalities/eureka-springs-ar
29,Arkansas,AR,Fayetteville,https://www.hrc.org/resources/municipalities/fayetteville-ar
30,Arkansas,AR,Fort Smith,https://www.hrc.org/resources/municipalities/fort-smith-ar
31,Arkansas,AR,Jonesboro,https://www.hrc.org/resources/municipalities/jonesboro-ar
32,Arkansas,AR,Little Rock,https://www.hrc.org/resources/municipalities/little-rock-ar
33,Arkansas,AR,North Little Rock,https://www.hrc.org/resources/municipalities/north-little-rock-ar
34,Arkansas,AR,Springdale,https://www.hrc.org/resources/municipalities/springdale-ar
35,California,CA,Anaheim,https://www.hrc.org/resources/municipalities/anaheim-ca
36,California,CA,Bakersfield,https://www.hrc.org/resources/municipalities/bakersfield-ca
37,California,CA,Berkeley,https://www.hrc.org/resources/municipalities/berkeley-ca
38,California,CA,Brisbane,https://www.hrc.org/resources/municipalities/brisbane-ca
39,California,CA,Cathedral City,https://www.hrc.org/resources/municipalities/cathedral-city-ca
40,California,CA,Chula Vista,https://www.hrc.org/resources/municipalities/chula-vista-ca
41,California,CA,Concord,https://www.hrc.org/resources/municipalities/concord-ca
42,California,CA,Corona,https://www.hrc.org/resources/municipalities/corona-ca
43,California,CA,Elk Grove,https://www.hrc.org/resources/municipalities/elk-grove-ca
44,California,CA,Escondido,https://www.hrc.org/resources/municipalities/escondido-ca
45,California,CA,Fontana,https://www.hrc.org/resources/municipalities/fontana-ca
46,California,CA,Fremont,https://www.hrc.org/resources/municipalities/fremont-ca
47,California,CA,Fresno,https://www.hrc.org/resources/municipalities/fresno-ca
48,California,CA,Fullerton,https://www.hrc.org/resources/municipalities/fullerton-ca
49,California,CA,Garden Grove,https://www.hrc.org/resources/municipalities/garden-grove-ca
50,California,CA,Glendale,https://www.hrc.org/resources/municipalities/glendale-ca
51,California,CA,Guerneville Sonoma County,https://www.hrc.org/resources/municipalities/guerneville-sonoma-county-ca
52,California,CA,Hayward,https://www.hrc.org/resources/municipalities/hayward-ca
53,California,CA,Huntington Beach,https://www.hrc.org/resources/municipalities/huntington-beach-ca
54,California,CA,Irvine,https://www.hrc.org/resources/municipalities/irvine-ca
55,California,CA,Lancaster,https://www.hrc.org/resources/municipalities/lancaster-ca
56,California,CA,Long Beach,https://www.hrc.org/resources/municipalities/long-beach-ca
57,California,CA,Los Angeles,https://www.hrc.org/resources/municipalities/los-angeles-ca
58,California,CA,Modesto,https://www.hrc.org/resources/municipalities/modesto-ca
59,California,CA,Moreno Valley,https://www.hrc.org/resources/municipalities/moreno-valley-ca
60,California,CA,Oakland,https://www.hrc.org/resources/municipalities/oakland-ca
61,California,CA,Oceanside,https://www.hrc.org/resources/municipalities/oceanside-ca
62,California,CA,Ontario,https://www.hrc.org/resources/municipalities/ontario-ca
63,California,CA,Orange,https://www.hrc.org/resources/municipalities/orange-ca
64,California,CA,Oxnard,https://www.hrc.org/resources/municipalities/oxnard-ca
65,California,CA,Palm Desert,https://www.hrc.org/resources/municipalities/palm-desert-ca
66,California,CA,Palm Springs,https://www.hrc.org/resources/municipalities/palm-springs-ca
67,California,CA,Palmdale,https://www.hrc.org/resources/municipalities/palmdale-ca
68,California,CA,Pasadena,https://www.hrc.org/resources/municipalities/pasadena-ca
69,California,CA,Pomona,https://www.hrc.org/resources/municipalities/pomona-ca
70,California,CA,Rancho Cucamonga,https://www.hrc.org/resources/municipalities/rancho-cucamonga-ca
71,California,CA,Rancho Mirage,https://www.hrc.org/resources/municipalities/rancho-mirage-ca
72,California,CA,Richmond,https://www.hrc.org/resources/municipalities/richmond-ca
73,California,CA,Riverside,https://www.hrc.org/resources/municipalities/riverside-ca
74,California,CA,Sacramento,https://www.hrc.org/resources/municipalities/sacramento-ca
75,California,CA,Salinas,https://www.hrc.org/resources/municipalities/salinas-ca
76,California,CA,San Bernardino,https://www.hrc.org/resources/municipalities/san-bernardino-ca
77,California,CA,San Diego,https://www.hrc.org/resources/municipalities/san-diego-ca
78,California,CA,San Francisco,https://www.hrc.org/resources/municipalities/san-francisco-ca
79,California,CA,San Jose,https://www.hrc.org/resources/municipalities/san-jose-ca
80,California,CA,Santa Ana,https://www.hrc.org/resources/municipalities/santa-ana-ca
81,California,CA,Santa Clarita,https://www.hrc.org/resources/municipalities/santa-clarita-ca
82,California,CA,Santa Monica,https://www.hrc.org/resources/municipalities/santa-monica-ca
83,California,CA,Santa Rosa,https://www.hrc.org/resources/municipalities/santa-rosa-ca
84,California,CA,Signal Hill,https://www.hrc.org/resources/municipalities/signal-hill-ca
85,California,CA,Stockton,https://www.hrc.org/resources/municipalities/stockton-ca
86,California,CA,Sunnyvale,https://www.hrc.org/resources/municipalities/sunnyvale-ca
87,California,CA,Thousand Oaks,https://www.hrc.org/resources/municipalities/thousand-oaks-ca
88,California,CA,Torrance,https://www.hrc.org/resources/municipalities/torrance-ca
89,California,CA,Vallejo,https://www.hrc.org/resources/municipalities/vallejo-ca
90,California,CA,Visalia,https://www.hrc.org/resources/municipalities/visalia-ca
91,California,CA,West Hollywood,https://www.hrc.org/resources/municipalities/west-hollywood-ca
92,Colorado,CO,Aspen,https://www.hrc.org/resources/municipalities/aspen-co
93,Colorado,CO,Aurora,https://www.hrc.org/resources/municipalities/aurora-co
94,Colorado,CO,Boulder,https://www.hrc.org/resources/municipalities/boulder-co
